OBJECTID,Shape,imperdible,cod_comuna,direccion,barrio,latitud,longitud,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,sitio_web,nombre_comuna,cod_barrio,x_origen_nacional,y_origen_nacional
15,"(4714568.933000001, 2249279.6855000015)",NO,11,CR 63 No.44 a - 65,Naranjal,6.24969482,-75.58050537,AT015,Centro de Espectáculos La Macarena,Plaza de toros,42,https://www.medellin.travel/local/centro-de-espectaculos-la-macarena/,Laureles Estadio,1103,4714568.933,2249279.6855
16,"(4719573.3618, 2248965.0557000004)",NO,90, ,Piedras Blancas - Matasano,6.24707031,-75.53527832,AT016,Cerro Pan de Azúcar,Cerro,30,https://www.medellin.gov.co/es/secretaria-medio-ambiente/medellin-biodiversa/cerro-pan-de-azucar/,Corregimiento de Santa Elena,9003,4719573.3618,2248965.0557
17,"(4716370.829800002, 2248892.809700001)",NO,10,CR 44 No. 48-18,La Candelaria,6.24627686,-75.56420898,AT017,Complejo Arquitectónico Claustro San Ignacio,Claustro,44, ,La Candelaria,1019,4716370.8298,2248892.8097
18,"(4715934.979700001, 2249563.2985999994)",NO,10,CR 52 con CL 52,La Candelaria,6.25231934,-75.56817627,AT018,Conjunto de Esculturas de Botero,Escultura,88, ,La Candelaria,1019,4715934.9797,2249563.2986
19,"(4713713.676500001, 2255299.2622000016)",NO,60, ,El Picacho,6.30407715,-75.58850098,AT019,Ecoparque Cerro Picacho,Cerro,48,https://www.medellin.gov.co/es/secretaria-medio-ambiente/medellin-biodiversa/cerro-el-picacho/,Corregimiento de San Cristóbal,6011,4713713.6765,2255299.2622
20,"(4715518.7664, 2248721.4373999983)",NO,10,CR 52 No. 43 – 31,Centro Administrativo,6.24468994,-75.57189941,AT020,Edificio Antigua Estación Medellín,Estación de ferrocarril,33,https://www.medellin.travel/antigua-estacion-del-ferrocarril-de-antioquia/,La Candelaria,Inst_17,4715518.7664,2248721.4374
21,"(4715593.738, 2248856.0944)",NO,10,CR 52 No. 44 – 31,Guayaquil,6.24591064,-75.57122803,AT021,Edificio Carré,Centro administrativo,31,https://www.medellin.travel/edificio-carre/,La Candelaria,1007,4715593.738,2248856.0944
22,"(4716176.992300001, 2249319.0759999994)",NO,10,CL 52 No. 47 - 42,La Candelaria,6.25012207,-75.565979,AT022,Edificio Coltejer,Edificación comercial,12,https://www.edificiocoltejerph.com.co/,La Candelaria,1019,4716176.9923,2249319.076
23,"(4714877.409000001, 2248812.3401999995)",NO,10,CR 58 No. 42 - 125,La Alpujarra,6.2454834,-75.57769775,AT023,Edificio Inteligente Empresas Públicas de Medellín,Otro,29, ,La Candelaria,Inst_16,4714877.409,2248812.3402
24,"(4715573.3723, 2248835.9404000044)",NO,10,CR 52 No. 44 - 31,Guayaquil,6.24572754,-75.57141113,AT024,Edificio Vásquez,Otro,27,https://www.medellin.travel/edificio-vasquez/,La Candelaria,1007,4715573.3723,2248835.9404
25,"(4709987.572800001, 2249106.552000001)",SI,13,CR 110 No. 34 CC - 115,Las Independencias,6.2479248,-75.62188721,AT025,Escaleras Eléctricas Comuna 13,Sector urbano o rural de interés,94,https://www.medellin.travel/comuna-13/,San Javier,1314,4709987.5728,2249106.552
26,"(4714629.3439, 2247821.128200002)",NO,16,CL 30 A No. 55 - 64,Cerro Nutibara,6.23651123,-75.57989502,AT026,Escultura Cacique Nutibara,Escultura,25, ,Belén,Inst_18,4714629.3439,2247821.1282
27,"(4715974.1941, 2249293.0613)",NO,10,CL 50 con CR 50,La Candelaria,6.24987793,-75.56781006,AT027,Escultura La Gorda de Botero,Escultura,23, ,La Candelaria,1019,4715974.1941,2249293.0613
28,"(4716333.983000001, 2249649.115600003)",NO,10,CL 54 con la CR 48,Villa Nueva,6.25311279,-75.5645752,AT028,Estatua a Simón Bolívar,Estatua,21, ,La Candelaria,1018,4716333.983,2249649.1156
29,"(4715995.743, 2249501.755900001)",NO,10,CR 51 CL 52 Plazuela Nutibara,La Candelaria,6.25176563,-75.56762458,AT029,Fuente Cacique de Nutibara,Fuente,1, ,La Candelaria,1019,4715995.743,2249501.7559
30,"(4715849.693600001, 2248699.568)",NO,10,CR 48 No. 44 - 55,Barrio Colón,6.24450684,-75.56890869,AT030,Iglesia de San Antonio,Iglesia,19,https://arqmedellin.co/parroquias/san-antonio-de-padua/,La Candelaria,1013,4715849.6936,2248699.568
31,"(4716101.2014000015, 2250399.6283000037)",NO,10,CR 52 No. 61 - 30,Jesús Nazareno,6.2598877,-75.56671143,AT031,Iglesia Jesús de Nazareno,Iglesia,17,https://arqmedellin.co/parroquias/jesus-nazareno-2/,La Candelaria,1003,4716101.2014,2250399.6283
32,"(4715785.797200001, 2249449.2578999996)",NO,10,CL 52 No. 52 -18,La Candelaria,6.25128174,-75.56951904,AT032,Iglesia La Veracruz,Iglesia,15,https://arqmedellin.co/parroquias/la-veracruz/,La Candelaria,1019,4715785.7972,2249449.2579
33,"(4715655.504999999, 2244892.865)",NO,14,CR 43A No. 9 - 30,El Poblado,6.21008301,-75.57049561,AT033,Iglesia San José de El Poblado,Iglesia,13,https://arqmedellin.co/parroquias/san-jose-centro/,El Poblado,1418,4715655.505,2244892.865
34,"(4716438.055400001, 2251592.9322000016)",SI,04,CL 73 No. 51 D 14,Jardín Botánico,6.27069092,-75.5637207,AT034,Jardín Botánico Joaquín Antonio Uribe,Jardín botánico,99,https://www.medellin.travel/jardin-botanico/,Aranjuez,Inst_10,4716438.0554,2251592.9322
35,"(4715989.025600002, 2252324.2544)",NO,04,CR 62 con CL 58b,Moravia,6.27728272,-75.56781006,AT035,Jardín Morro de Moravia,Sector urbano o rural de interés,22,https://www.medellin.travel/moravia/,Aranjuez,0405,4715989.0256,2252324.2544
36,"(4715460.9586000005, 2243786.620400002)",NO,14,CR 43A,Alejandría,6.20007324,-75.57220459,AT036,Milla de Oro,Avenida y calle,11,https://milladeoromedellin.com/,El Poblado,1416,4715460.9586,2243786.6204
37,"(4713855.9462, 2245786.0442000013)",NO,15, CR 65 A No. 13-157,Parque Juan Pablo II,6.21807861,-75.58679199,AT037,Monumento a Carlos Gardel,Monumento,46, ,Guayabal,Inst_19,4713855.9462,2245786.0442
38,"(4715342.9216, 2248681.7898999993)",NO,10,CL 44 No. 52 - 165,Centro Administrativo,6.24432373,-75.57348633,AT038,Monumento a la Raza,Monumento,62,https://www.medellin.travel/alpujarra-y-monumento-a-la-raza/,La Candelaria,Inst_17,4715342.9216,2248681.7899
39,"(4714740.439600001, 2249812.189500002)",NO,11,CL 49 No 49-30,Suramericana,6.2545166,-75.57897949,AT039,Monumento a La Vida,Monumento,52, ,Laureles Estadio,1102,4714740.4396,2249812.1895
