OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
40,"(4709855.0631598355, 2238239.5569815594)",Ciclorrutas propuestas municipios AMVA,Municipio de Sabaneta,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,991.1512273964515
41,"(4714787.33247024, 2244827.4193588044)",Carrera 48A - 49,Carrera 48A - 49,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,4867.091442473119
42,"(4713969.319650262, 2246227.983381397)",Carrera 65G,Carrera 65G,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,799.6077094502281
43,"(4713786.236540391, 2247221.9947580383)",Carrera 66B,Carrera 66B,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1640.81311253943
44,"(4713193.743629829, 2247935.8593830736)",Calle 32,Calle 31A - 32 - 32F,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3624.433265756736
45,"(4711972.310540002, 2247063.4232368823)",Calle 29 - 28,Calle 29 - 28,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,412.00616370461194
46,"(4712115.767154655, 2249762.601628974)",Carrera 84,Carrera 84,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,853.3243415477264
47,"(4712225.121161337, 2248607.6336052227)",Calle 35 - 37,Calle 35 - 37,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1191.4753735278089
48,"(4715625.711638035, 2249181.151415516)",Carrera 53,Carrera 53,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,968.1291702959197
49,"(4713188.573622269, 2249915.5770319602)",Calle 47D,Calle 47D,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1340.529556853542
50,"(4712806.956080205, 2249771.253637595)",Carrera 78,Carrera 78,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,877.0753764545068
51,"(4717165.909492103, 2252625.3355169524)",Carrera 48A,Carrera 48A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,5796.041236915553
52,"(4723660.5575965345, 2250435.1651506885)",Via al Tambo Mazo - Piedra Gorda El Placer,Vía a Piedra Blancas,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,13755.184757943394
53,"(4703383.381819933, 2262377.347969857)",Carretera al Mar,Carretera al Mar,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,50327.89940029105
54,"(4726041.245650732, 2243272.021382285)",Via a Santa Elena,Via Santa Elena,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,10603.08425529905
55,"(4718375.861378949, 2250975.024008896)",Longitudinal Oriental,Longitudinal Oriental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3709.4313505814757
56,"(4718372.824377125, 2242802.3901855596)",Carrera 9 -10,Carrera 9 -10,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,6066.075129322977
57,"(4717294.728478389, 2251662.0906453296)",Calle 77A,Calle 77A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1442.4285344806701
