OBJECTID,Shape,nombre,label,estado,fecha_adopcion,fecha_actualizacion,Shape_Length
172,"(4709812.942092055, 2248887.957076717)",Calle 34B,Lateral Qda. Ana Díaz,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1855.6639635885238
173,"(4710773.074228025, 2248764.502438332)",Calle 34B,Lateral Qda. Ana Díaz,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,235.65116450696794
174,"(4709107.143122804, 2248998.724243658)",Calle 34B,Lateral Qda. Ana Díaz,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,510.7814351382834
175,"(4708493.801630851, 2249344.6235970706)",El Corazón,El Corazón,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1475.150181120738
176,"(4709202.219516666, 2247650.8705946635)",San Pablo - Aguas Frías,San Pablo - Aguas Frías,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2221.176897990444
177,"(4707798.079269409, 2246139.139595733)",Via Altavista Central Patiobola y Buga,Via Altavista Central Patiobola y Buga,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1565.9902638588453
178,"(4709402.857259831, 2246386.8015912925)",Calle 18,Calle 18,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2000.0536873651488
179,"(4716138.621848303, 2252481.936983166)",Carrera 58B,Carrera 58B,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,773.0185583481698
180,"(4716013.4834, 2252709.246050002)",Carrera 87 AA,Carrera 87AA,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,52.85602563019264
181,"(4714215.82239729, 2241525.1481621996)",Carrera 43A - Avenida El Poblado,Carrera 43A - Avenida El Poblado,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,726.0852392383694
182,"(4716211.352382713, 2255427.51549211)",Carrera 67,Carrera 67,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,922.6548912772934
183,"(4716119.615213059, 2253903.134912053)",Calle 97A - 96A,Calle 97A - 96A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,916.0166284838525
184,"(4712200.406499815, 2249881.5084905485)",Longitudinal Occidental,Longitudinal Occidental,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,19497.81466393665
185,"(4714946.253841928, 2244650.11703142)",Avenida Las Vegas,Carrera 48,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,2988.0976348559884
186,"(4715161.68072083, 2246587.5435698116)",Avenida Las Vegas,Carrera 48,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,914.0375357167686
187,"(4712295.789610648, 2250108.7170286896)",Calle 47A - 48,Calle 47A - 48,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3431.8243856193085
188,"(4714053.7976252455, 2249633.966404816)",Calle 47D,Calle 47D,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,603.8539562047523
189,"(4710730.261731347, 2247774.320835577)",Calle 31 BB,Lateral Qda. La Picacha,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,1135.730206815976
190,"(4713071.05111511, 2252583.531145946)",Carrera 87A,Carrera 87A,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,983.6560436300298
191,"(4714024.626201528, 2246004.4451634455)",Carrera 65,Carrera 65,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,3012.0335747223107
192,"(4714338.3620370515, 2248936.0000778926)",Carrera 65,Carrera 65,Existente,2014-12-17 00:00:00,2014-12-17 00:00:00,2995.679172082868
193,"(4716049.013213662, 2253401.7840598756)",Puente Madre Laura,Calle 93ED,Proyectado,2014-12-17 00:00:00,2014-12-17 00:00:00,765.6132729239158
