OBJECTID,Shape,nombre,quebrada_asociada,dominio,funcion,categoria,subcategoria,jerarquia,orden,direccion_referencia,cbml,id_zona,accion,Shape_Length,Shape_Area
21,"(4713515.278613088, 2248071.002502741)",Ecoparque La Picacha,Q. La Picacha o Aguas Frías,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Diagonal 74B Calle 32F,16020600001,22,Mantenimiento,3576.608932226219,39806.11256693666
22,"(4710814.919283876, 2248741.1693098526)",Ecoparque Los Sentidos - Ana Díaz,Q. Ana Díaz,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 89 34C,13120260010,6,Mantenimiento,2580.6666744691547,49787.2410795633
23,"(4711442.392024188, 2250289.3262851564)",Ecoparque La Pelahueso,Q. Bolillala o Pelahueso,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 48 87,12060500001,31,Mantenimiento,2230.1391268813004,22557.88620879428
24,"(4710722.596100371, 2249931.2816212783)",Ecoparque El Salado,Q. El Salado,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 98 41,13090030001,7,Mantenimiento,674.4740256609967,3880.4671997522355
25,"(4709596.5216084, 2250114.5524536096)",Ecoparque La Hueso - comuna 13,Q. La Hueso,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 43 117,13180020005,33,Mantenimiento,1207.4255815741344,28402.275983745876
26,"(4712746.196119544, 2249753.749125554)",Ecoparque Ana Díaz Plaza América,Q. Ana Díaz,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 79A 45,12030370001,2,Mantenimiento,2460.95670807547,24321.164023760004
27,"(4714059.049458963, 2246059.153759624)",Ecoparque La Guayabala,Q. La Guayabala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 65 16,15040510001,25,Mantenimiento,1088.5385225299863,10175.816225029976
28,"(4713388.049082645, 2244878.2959082485)",Ecoparque Mallorca,Caño Mallorca,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 67 1 Sur,15060010001,8,Mantenimiento,326.6454760818334,2887.172691428053
29,"(4707413.740406506, 2241726.237512109)",Ecoparque La Manguala,Q. La Manguala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel zonal / Corregimental,Local,Calle 42D sur 64B,80002330009,32,Mantenimiento,1467.3736231501498,37684.07252911811
30,"(4716141.707049201, 2252460.789192484)",Ecoparque Bermejala Moravia,Q. La Bermejala,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calles 82A 52,04059990005,3,Mantenimiento,1570.2999881105711,14595.089489724192
31,"(4715463.759222747, 2255138.0722166714)",Ecoparque Tinajas,Q. Tinajas o Tinajitas,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 104 76,06040760011,24,Mantenimiento,3269.2031999878805,36654.02490084452
32,"(4719240.744415594, 2248304.9979651743)",Ecoparque Campo Santo Villatina,Q. La Loquita y Q. La Gallinaza,Bienes de uso público,Parques,Ecoparque,Ecoparque de Borde,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 56D 16,08140080230,41,Mantenimiento,628.6100585315504,18833.87927955216
33,"(4720358.523077739, 2248010.955369624)",Ecoparque Villa Turbay,No Aplica,Bienes de uso público,Parques,Ecoparque,Ecoparque de Borde,Nivel zonal / Corregimental,Local,Calle 56B 4 este,90080000134,61,Mantenimiento,614.426872129393,13188.17500251424
34,"(4715699.917405965, 2244648.630362806)",Ecoparque La Presidenta,Q. La Presidenta,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 43A 7D,14170120006,30,Mantenimiento,902.6129356542245,19677.03540898285
35,"(4715147.936630492, 2244701.1351995342)",Ecoparque La Presidenta Tramo 2,Q. La Presidenta,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Calle 6 45,,28,Mantenimiento,422.61698335696815,4343.358511290968
36,"(4713121.509260256, 2243473.5780544775)",Ecoparque El Bolo,Q. El Bolo o La Raya,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 52 12C sur,15110940022,27,Mantenimiento,852.7298350022803,4115.894734406353
37,"(4718287.60207009, 2254208.0371819725)",Ecoparque La Herrera,Q. La Herrera o Los Pozos o Granizal,Bienes de uso público,Parques,Ecoparque,Ecoparque de quebrada y otros cuerpos de agua,Nivel Comunal/ Suburbano Nivel 1,Local,Carrera 37B 107,01010280006,34,Mantenimiento,975.6718550602649,9117.95677981191
