OBJECTID *,Nombre *,Tipo *,Dirección,Ciudad *,Shape *,latitud,longitud
3085,Selina Medellin,Hotel,"Carrera 32D 9, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2085266,-75.563934
3086,Samán,Hostel,"Calle 10 36 2-56, El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2090308,-75.5662613
3087,Binn,Hotel,"Carrera 25 con Carrera 25 10, Altos del Poblado, E",Medellín,Point Z,6.2119002,-75.5552919
3088,Santa Fe Colonial,Hotel,"Carrera 32D con Carrera 32D 9, La Florida, El Pobl",Medellín,Point Z,6.2034815,-75.5716589
3089,Hotel Acqua,Hotel,"Carrera 35 7 21-149, La Florida, El Poblado, Medel",Medellín,Point Z,6.2063733,-75.56556359999999
3090,Las Rosas Hotel Boutique,Hotel,"Carrera 33 5G 1-73, La Florida, El Poblado, Medell",Medellín,Point Z,6.2051225,-75.5641098
3091,Hotel Poblado Boutique Express,Hotel,"Carrera 34 con Carrera 34 7, La Florida, El Poblad",Medellín,Point Z,6.207245599999999,-75.564932
3092,Hotel Plaza Rosa,Hotel,"El Poblado, Medellín, Antioquia",Medellín,Point Z,6.2034815,-75.5716589
3093,Kolor Hotel Boutique,Hotel,"Carrera 33 5G 1-73, La Florida, El Poblado, Medell",Medellín,Point Z,6.2051225,-75.5641098
3094,La Campana Hotel Boutique,Hotel,"Calle 11A con Calle 11A 31A, Las Lomas 1, El Pobla",Medellín,Point Z,6.2118026,-75.56198549999999
